Var1,Var2,Var3,Var4,Var5,Var6
,-0.0400,-0.0400,-0.0530,-0.0380,-0.0380
,-0.0400,-0.0400,-0.0520,-0.0360,-0.0360
,-0.0390,-0.0390,-0.0520,-0.0340,-0.0340
,-0.0390,-0.0390,-0.0510,-0.0330,-0.0330
,-0.0390,-0.0390,-0.0510,-0.0310,-0.0310
,-0.0390,-0.0390,-0.0500,-0.0300,-0.0300
,-0.0390,-0.0390,-0.0490,-0.0300,-0.0300
,-0.0390,-0.0390,-0.0490,-0.0300,-0.0300
,-0.0390,-0.0390,-0.0490,-0.0300,-0.0300
,-0.0390,-0.0390,-0.0480,-0.0310,-0.0310
,-0.0380,-0.0380,-0.0480,-0.0320,-0.0320
,-0.0380,-0.0380,-0.0480,-0.0340,-0.0340
,-0.0380,-0.0380,-0.0470,-0.0350,-0.0350
,-0.0380,-0.0380,-0.0470,-0.0370,-0.0370
,-0.0380,-0.0380,-0.0470,-0.0400,-0.0400
,-0.0380,-0.0380,-0.0470,-0.0420,-0.0420
,-0.0380,-0.0380,-0.0470,-0.0450,-0.0450
,-0.0380,-0.0380,-0.0470,-0.0470,-0.0470
,-0.0380,-0.0380,-0.0470,-0.0500,-0.0500
,-0.0370,-0.0370,-0.0480,-0.0520,-0.0520
,-0.0370,-0.0370,-0.0480,-0.0550,-0.0550
,-0.0370,-0.0370,-0.0480,-0.0570,-0.0570
,-0.0370,-0.0370,-0.0480,-0.0590,-0.0590
,-0.0370,-0.0370,-0.0480,-0.0600,-0.0600
,-0.0370,-0.0370,-0.0490,-0.0620,-0.0620
,-0.0360,-0.0360,-0.0490,-0.0630,-0.0630
,-0.0360,-0.0360,-0.0490,-0.0630,-0.0630
,-0.0360,-0.0360,-0.0490,-0.0630,-0.0630
,-0.0360,-0.0360,-0.0500,-0.0630,-0.0630
,-0.0360,-0.0360,-0.0500,-0.0630,-0.0630
,-0.0360,-0.0360,-0.0500,-0.0620,-0.0620
,-0.0350,-0.0350,-0.0510,-0.0610,-0.0610
,-0.0350,-0.0350,-0.0510,-0.0590,-0.0590
,-0.0350,-0.0350,-0.0510,-0.0570,-0.0570
,-0.0350,-0.0350,-0.0510,-0.0550,-0.0550
,-0.0350,-0.0350,-0.0520,-0.0530,-0.0530
,-0.0350,-0.0350,-0.0520,-0.0500,-0.0500
,-0.0350,-0.0350,-0.0520,-0.0480,-0.0480
,-0.0350,-0.0350,-0.0520,-0.0460,-0.0460
,-0.0350,-0.0350,-0.0520,-0.0430,-0.0430
,-0.0350,-0.0350,-0.0530,-0.0410,-0.0410
,-0.0350,-0.0350,-0.0530,-0.0390,-0.0390
,-0.0350,-0.0350,-0.0530,-0.0370,-0.0370
,-0.0350,-0.0350,-0.0530,-0.0350,-0.0350
,-0.0350,-0.0350,-0.0530,-0.0340,-0.0340
,-0.0350,-0.0350,-0.0530,-0.0330,-0.0330
,-0.0350,-0.0350,-0.0530,-0.0320,-0.0320
,-0.0350,-0.0350,-0.0530,-0.0320,-0.0320
,-0.0360,-0.0360,-0.0530,-0.0320,-0.0320
,-0.0360,-0.0360,-0.0530,-0.0320,-0.0320
,-0.0360,-0.0360,-0.0530,-0.0330,-0.0330
,-0.0360,-0.0360,-0.0530,-0.0340,-0.0340
,-0.0360,-0.0360,-0.0530,-0.0360,-0.0360
,-0.0370,-0.0370,-0.0530,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0530,-0.0390,-0.0390
,-0.0370,-0.0370,-0.0530,-0.0410,-0.0410
,-0.0380,-0.0380,-0.0530,-0.0440,-0.0440
,-0.0380,-0.0380,-0.0530,-0.0460,-0.0460
,-0.0380,-0.0380,-0.0530,-0.0480,-0.0480
,-0.0380,-0.0380,-0.0530,-0.0510,-0.0510
,-0.0390,-0.0390,-0.0530,-0.0530,-0.0530
,-0.0390,-0.0390,-0.0520,-0.0550,-0.0550
,-0.0390,-0.0390,-0.0520,-0.0570,-0.0570
,-0.0390,-0.0390,-0.0520,-0.0590,-0.0590
,-0.0400,-0.0400,-0.0520,-0.0600,-0.0600
,-0.0400,-0.0400,-0.0520,-0.0610,-0.0610
,-0.0400,-0.0400,-0.0510,-0.0620,-0.0620
,-0.0400,-0.0400,-0.0510,-0.0630,-0.0630
,-0.0410,-0.0410,-0.0510,-0.0630,-0.0630
,-0.0410,-0.0410,-0.0510,-0.0630,-0.0630
,-0.0410,-0.0410,-0.0500,-0.0620,-0.0620
,-0.0410,-0.0410,-0.0500,-0.0610,-0.0610
,-0.0410,-0.0410,-0.0500,-0.0600,-0.0600
,-0.0410,-0.0410,-0.0490,-0.0590,-0.0590
,-0.0410,-0.0410,-0.0490,-0.0570,-0.0570
,-0.0410,-0.0410,-0.0490,-0.0550,-0.0550
,-0.0410,-0.0410,-0.0480,-0.0530,-0.0530
,-0.0410,-0.0410,-0.0480,-0.0510,-0.0510
,-0.0410,-0.0410,-0.0480,-0.0490,-0.0490
,-0.0410,-0.0410,-0.0480,-0.0470,-0.0470
,-0.0410,-0.0410,-0.0470,-0.0440,-0.0440
,-0.0410,-0.0410,-0.0470,-0.0420,-0.0420
,-0.0400,-0.0400,-0.0470,-0.0400,-0.0400
,-0.0400,-0.0400,-0.0470,-0.0380,-0.0380
,-0.0400,-0.0400,-0.0460,-0.0370,-0.0370
,-0.0400,-0.0400,-0.0460,-0.0360,-0.0360
,-0.0400,-0.0400,-0.0460,-0.0340,-0.0340
,-0.0390,-0.0390,-0.0460,-0.0340,-0.0340
,-0.0390,-0.0390,-0.0460,-0.0330,-0.0330
,-0.0390,-0.0390,-0.0460,-0.0330,-0.0330
,-0.0390,-0.0390,-0.0460,-0.0330,-0.0330
,-0.0380,-0.0380,-0.0460,-0.0340,-0.0340
,-0.0380,-0.0380,-0.0450,-0.0350,-0.0350
,-0.0380,-0.0380,-0.0450,-0.0360,-0.0360
,-0.0370,-0.0370,-0.0450,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0450,-0.0390,-0.0390
,-0.0370,-0.0370,-0.0450,-0.0410,-0.0410
,-0.0370,-0.0370,-0.0450,-0.0420,-0.0420
,-0.0360,-0.0360,-0.0450,-0.0440,-0.0440
,-0.0360,-0.0360,-0.0450,-0.0460,-0.0460
,-0.0360,-0.0360,-0.0450,-0.0480,-0.0480
,-0.0350,-0.0350,-0.0450,-0.0500,-0.0500
,-0.0350,-0.0350,-0.0450,-0.0520,-0.0520
,-0.0350,-0.0350,-0.0450,-0.0530,-0.0530
,-0.0350,-0.0350,-0.0450,-0.0550,-0.0550
,-0.0350,-0.0350,-0.0450,-0.0560,-0.0560
,-0.0340,-0.0340,-0.0450,-0.0570,-0.0570
,-0.0340,-0.0340,-0.0450,-0.0570,-0.0570
,-0.0340,-0.0340,-0.0450,-0.0580,-0.0580
,-0.0340,-0.0340,-0.0450,-0.0580,-0.0580
,-0.0340,-0.0340,-0.0450,-0.0570,-0.0570
,-0.0340,-0.0340,-0.0450,-0.0570,-0.0570
,-0.0340,-0.0340,-0.0450,-0.0560,-0.0560
,-0.0340,-0.0340,-0.0450,-0.0550,-0.0550
,-0.0340,-0.0340,-0.0450,-0.0540,-0.0540
,-0.0350,-0.0350,-0.0450,-0.0520,-0.0520
,-0.0350,-0.0350,-0.0450,-0.0510,-0.0510
,-0.0350,-0.0350,-0.0460,-0.0490,-0.0490
,-0.0350,-0.0350,-0.0460,-0.0480,-0.0480
,-0.0350,-0.0350,-0.0460,-0.0460,-0.0460
,-0.0350,-0.0350,-0.0460,-0.0440,-0.0440
,-0.0360,-0.0360,-0.0460,-0.0430,-0.0430
,-0.0360,-0.0360,-0.0460,-0.0410,-0.0410
,-0.0360,-0.0360,-0.0460,-0.0400,-0.0400
,-0.0360,-0.0360,-0.0460,-0.0390,-0.0390
,-0.0360,-0.0360,-0.0460,-0.0380,-0.0380
,-0.0370,-0.0370,-0.0460,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0460,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0460,-0.0360,-0.0360
,-0.0370,-0.0370,-0.0460,-0.0360,-0.0360
,-0.0370,-0.0370,-0.0460,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0460,-0.0370,-0.0370
,-0.0370,-0.0370,-0.0460,-0.0380,-0.0380
,-0.0360,-0.0360,-0.0450,-0.0390,-0.0390
,-0.0360,-0.0360,-0.0450,-0.0400,-0.0400
,-0.0360,-0.0360,-0.0450,-0.0410,-0.0410
,-0.0360,-0.0360,-0.0450,-0.0420,-0.0420
,-0.0350,-0.0350,-0.0440,-0.0440,-0.0440
,-0.0350,-0.0350,-0.0440,-0.0450,-0.0450
,-0.0350,-0.0350,-0.0440,-0.0460,-0.0460
,-0.0340,-0.0340,-0.0430,-0.0480,-0.0480
,-0.0340,-0.0340,-0.0430,-0.0490,-0.0490
,-0.0330,-0.0330,-0.0430,-0.0500,-0.0500
,-0.0330,-0.0330,-0.0420,-0.0510,-0.0510
,-0.0320,-0.0320,-0.0420,-0.0520,-0.0520
,-0.0320,-0.0320,-0.0420,-0.0520,-0.0520
,-0.0310,-0.0310,-0.0410,-0.0530,-0.0530
,-0.0310,-0.0310,-0.0410,-0.0530,-0.0530
,-0.0310,-0.0310,-0.0410,-0.0530,-0.0530
,-0.0300,-0.0300,-0.0410,-0.0530,-0.0530
,-0.0300,-0.0300,-0.0410,-0.0520,-0.0520
,-0.0300,-0.0300,-0.0400,-0.0520,-0.0520
,-0.0300,-0.0300,-0.0400,-0.0510,-0.0510
,-0.0300,-0.0300,-0.0400,-0.0500,-0.0500
,-0.0300,-0.0300,-0.0410,-0.0490,-0.0490
,-0.0300,-0.0300,-0.0410,-0.0480,-0.0480
,-0.0300,-0.0300,-0.0410,-0.0460,-0.0460
,-0.0300,-0.0300,-0.0410,-0.0450,-0.0450
,-0.0300,-0.0300,-0.0410,-0.0430,-0.0430
,-0.0300,-0.0300,-0.0420,-0.0420,-0.0420
,-0.0310,-0.0310,-0.0420,-0.0410,-0.0410
,-0.0310,-0.0310,-0.0420,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0430,-0.0380,-0.0380
,-0.0320,-0.0320,-0.0430,-0.0370,-0.0370
,-0.0320,-0.0320,-0.0440,-0.0360,-0.0360
,-0.0330,-0.0330,-0.0440,-0.0350,-0.0350
,-0.0330,-0.0330,-0.0450,-0.0350,-0.0350
,-0.0330,-0.0330,-0.0450,-0.0340,-0.0340
,-0.0340,-0.0340,-0.0460,-0.0340,-0.0340
,-0.0340,-0.0340,-0.0460,-0.0340,-0.0340
,-0.0340,-0.0340,-0.0470,-0.0340,-0.0340
,-0.0350,-0.0350,-0.0470,-0.0340,-0.0340
,-0.0350,-0.0350,-0.0480,-0.0350,-0.0350
,-0.0350,-0.0350,-0.0480,-0.0360,-0.0360
,-0.0350,-0.0350,-0.0490,-0.0360,-0.0360
,-0.0350,-0.0350,-0.0490,-0.0370,-0.0370
,-0.0350,-0.0350,-0.0500,-0.0380,-0.0380
,-0.0350,-0.0350,-0.0500,-0.0400,-0.0400
,-0.0350,-0.0350,-0.0500,-0.0410,-0.0410
,-0.0350,-0.0350,-0.0510,-0.0420,-0.0420
,-0.0340,-0.0340,-0.0510,-0.0430,-0.0430
,-0.0340,-0.0340,-0.0510,-0.0450,-0.0450
,-0.0340,-0.0340,-0.0520,-0.0460,-0.0460
,-0.0340,-0.0340,-0.0520,-0.0470,-0.0470
,-0.0330,-0.0330,-0.0520,-0.0480,-0.0480
,-0.0330,-0.0330,-0.0520,-0.0490,-0.0490
,-0.0330,-0.0330,-0.0520,-0.0500,-0.0500
,-0.0320,-0.0320,-0.0520,-0.0500,-0.0500
,-0.0320,-0.0320,-0.0520,-0.0510,-0.0510
,-0.0320,-0.0320,-0.0520,-0.0510,-0.0510
,-0.0320,-0.0320,-0.0520,-0.0510,-0.0510
,-0.0310,-0.0310,-0.0520,-0.0510,-0.0510
,-0.0310,-0.0310,-0.0520,-0.0510,-0.0510
,-0.0310,-0.0310,-0.0510,-0.0510,-0.0510
,-0.0310,-0.0310,-0.0510,-0.0500,-0.0500
,-0.0310,-0.0310,-0.0510,-0.0500,-0.0500
,-0.0310,-0.0310,-0.0510,-0.0490,-0.0490
,-0.0310,-0.0310,-0.0500,-0.0480,-0.0480
,-0.0310,-0.0310,-0.0500,-0.0470,-0.0470
,-0.0310,-0.0310,-0.0490,-0.0460,-0.0460
,-0.0310,-0.0310,-0.0490,-0.0450,-0.0450
,-0.0310,-0.0310,-0.0490,-0.0440,-0.0440
,-0.0310,-0.0310,-0.0480,-0.0430,-0.0430
,-0.0310,-0.0310,-0.0480,-0.0420,-0.0420
,-0.0310,-0.0310,-0.0470,-0.0420,-0.0420
,-0.0310,-0.0310,-0.0470,-0.0410,-0.0410
,-0.0310,-0.0310,-0.0460,-0.0400,-0.0400
,-0.0310,-0.0310,-0.0460,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0450,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0450,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0440,-0.0380,-0.0380
,-0.0310,-0.0310,-0.0440,-0.0380,-0.0380
,-0.0310,-0.0310,-0.0430,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0430,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0430,-0.0390,-0.0390
,-0.0310,-0.0310,-0.0420,-0.0400,-0.0400
,-0.0310,-0.0310,-0.0420,-0.0400,-0.0400
,-0.0310,-0.0310,-0.0420,-0.0410,-0.0410
,-0.0310,-0.0310,-0.0420,-0.0420,-0.0420
,-0.0300,-0.0300,-0.0420,-0.0430,-0.0430
,-0.0300,-0.0300,-0.0420,-0.0430,-0.0430
,-0.0300,-0.0300,-0.0420,-0.0440,-0.0440
,-0.0300,-0.0300,-0.0410,-0.0450,-0.0450
,-0.0300,-0.0300,-0.0410,-0.0460,-0.0460
,-0.0290,-0.0290,-0.0410,-0.0460,-0.0460
,-0.0290,-0.0290,-0.0410,-0.0470,-0.0470
,-0.0290,-0.0290,-0.0410,-0.0470,-0.0470
,-0.0290,-0.0290,-0.0410,-0.0470,-0.0470
,-0.0290,-0.0290,-0.0410,-0.0470,-0.0470
,-0.0280,-0.0280,-0.0410,-0.0470,-0.0470
,-0.0280,-0.0280,-0.0410,-0.0470,-0.0470
,-0.0280,-0.0280,-0.0410,-0.0470,-0.0470
,-0.0280,-0.0280,-0.0410,-0.0460,-0.0460
,-0.0280,-0.0280,-0.0400,-0.0450,-0.0450
,-0.0270,-0.0270,-0.0400,-0.0440,-0.0440
,-0.0270,-0.0270,-0.0400,-0.0430,-0.0430
,-0.0270,-0.0270,-0.0400,-0.0420,-0.0420
,-0.0270,-0.0270,-0.0400,-0.0410,-0.0410
,-0.0270,-0.0270,-0.0390,-0.0400,-0.0400
,-0.0270,-0.0270,-0.0390,-0.0380,-0.0380
,-0.0260,-0.0260,-0.0390,-0.0370,-0.0370
,-0.0260,-0.0260,-0.0390,-0.0360,-0.0360
,-0.0260,-0.0260,-0.0390,-0.0340,-0.0340
,-0.0260,-0.0260,-0.0390,-0.0330,-0.0330
,-0.0260,-0.0260,-0.0390,-0.0320,-0.0320
,-0.0260,-0.0260,-0.0390,-0.0310,-0.0310
,-0.0260,-0.0260,-0.0390,-0.0300,-0.0300
,-0.0250,-0.0250,-0.0390,-0.0290,-0.0290
,-0.0250,-0.0250,-0.0390,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0390,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0400,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0400,-0.0270,-0.0270
,-0.0250,-0.0250,-0.0410,-0.0270,-0.0270
,-0.0250,-0.0250,-0.0410,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0420,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0420,-0.0290,-0.0290
,-0.0250,-0.0250,-0.0430,-0.0290,-0.0290
,-0.0250,-0.0250,-0.0430,-0.0300,-0.0300
,-0.0250,-0.0250,-0.0440,-0.0310,-0.0310
,-0.0250,-0.0250,-0.0450,-0.0320,-0.0320
,-0.0250,-0.0250,-0.0450,-0.0330,-0.0330
,-0.0250,-0.0250,-0.0460,-0.0340,-0.0340
,-0.0250,-0.0250,-0.0460,-0.0350,-0.0350
,-0.0250,-0.0250,-0.0470,-0.0360,-0.0360
,-0.0250,-0.0250,-0.0470,-0.0370,-0.0370
,-0.0250,-0.0250,-0.0480,-0.0380,-0.0380
,-0.0250,-0.0250,-0.0480,-0.0380,-0.0380
,-0.0260,-0.0260,-0.0480,-0.0390,-0.0390
,-0.0260,-0.0260,-0.0490,-0.0390,-0.0390
,-0.0260,-0.0260,-0.0490,-0.0400,-0.0400
,-0.0260,-0.0260,-0.0490,-0.0400,-0.0400
,-0.0270,-0.0270,-0.0490,-0.0400,-0.0400
,-0.0270,-0.0270,-0.0480,-0.0400,-0.0400
,-0.0270,-0.0270,-0.0480,-0.0390,-0.0390
,-0.0270,-0.0270,-0.0480,-0.0390,-0.0390
,-0.0280,-0.0280,-0.0480,-0.0380,-0.0380
,-0.0280,-0.0280,-0.0470,-0.0370,-0.0370
,-0.0280,-0.0280,-0.0470,-0.0360,-0.0360
,-0.0280,-0.0280,-0.0460,-0.0350,-0.0350
,-0.0290,-0.0290,-0.0450,-0.0340,-0.0340
,-0.0290,-0.0290,-0.0450,-0.0330,-0.0330
,-0.0290,-0.0290,-0.0440,-0.0320,-0.0320
,-0.0290,-0.0290,-0.0430,-0.0310,-0.0310
,-0.0290,-0.0290,-0.0430,-0.0290,-0.0290
,-0.0290,-0.0290,-0.0420,-0.0280,-0.0280
,-0.0290,-0.0290,-0.0410,-0.0270,-0.0270
,-0.0290,-0.0290,-0.0400,-0.0260,-0.0260
,-0.0290,-0.0290,-0.0400,-0.0250,-0.0250
,-0.0290,-0.0290,-0.0390,-0.0250,-0.0250
,-0.0290,-0.0290,-0.0380,-0.0240,-0.0240
,-0.0290,-0.0290,-0.0380,-0.0230,-0.0230
,-0.0290,-0.0290,-0.0370,-0.0230,-0.0230
,-0.0290,-0.0290,-0.0360,-0.0230,-0.0230
,-0.0290,-0.0290,-0.0360,-0.0230,-0.0230
,-0.0280,-0.0280,-0.0360,-0.0230,-0.0230
,-0.0280,-0.0280,-0.0350,-0.0230,-0.0230
,-0.0280,-0.0280,-0.0350,-0.0230,-0.0230
,-0.0280,-0.0280,-0.0350,-0.0230,-0.0230
,-0.0270,-0.0270,-0.0340,-0.0240,-0.0240
,-0.0270,-0.0270,-0.0340,-0.0240,-0.0240
,-0.0270,-0.0270,-0.0340,-0.0250,-0.0250
,-0.0270,-0.0270,-0.0340,-0.0250,-0.0250
,-0.0260,-0.0260,-0.0340,-0.0260,-0.0260
,-0.0260,-0.0260,-0.0340,-0.0270,-0.0270
,-0.0260,-0.0260,-0.0340,-0.0270,-0.0270
,-0.0250,-0.0250,-0.0340,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0340,-0.0280,-0.0280
,-0.0250,-0.0250,-0.0350,-0.0290,-0.0290
,-0.0240,-0.0240,-0.0350,-0.0290,-0.0290
,-0.0240,-0.0240,-0.0350,-0.0290,-0.0290
,-0.0240,-0.0240,-0.0350,-0.0300,-0.0300
,-0.0240,-0.0240,-0.0360,-0.0300,-0.0300
,-0.0230,-0.0230,-0.0360,-0.0300,-0.0300
,-0.0230,-0.0230,-0.0360,-0.0300,-0.0300
,-0.0230,-0.0230,-0.0360,-0.0300,-0.0300
,-0.0230,-0.0230,-0.0360,-0.0290,-0.0290
,-0.0230,-0.0230,-0.0370,-0.0290,-0.0290
,-0.0230,-0.0230,-0.0370,-0.0290,-0.0290
,-0.0220,-0.0220,-0.0370,-0.0280,-0.0280
,-0.0220,-0.0220,-0.0370,-0.0280,-0.0280
,-0.0220,-0.0220,-0.0370,-0.0280,-0.0280
,-0.0220,-0.0220,-0.0370,-0.0270,-0.0270
,-0.0220,-0.0220,-0.0370,-0.0270,-0.0270
,-0.0220,-0.0220,-0.0370,-0.0260,-0.0260
,-0.0220,-0.0220,-0.0370,-0.0260,-0.0260
,-0.0220,-0.0220,-0.0370,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0360,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0350,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0350,-0.0250,-0.0250
,-0.0230,-0.0230,-0.0350,-0.0260,-0.0260
,-0.0230,-0.0230,-0.0350,-0.0260,-0.0260
,-0.0230,-0.0230,-0.0350,-0.0270,-0.0270
,-0.0230,-0.0230,-0.0350,-0.0270,-0.0270
,-0.0230,-0.0230,-0.0350,-0.0280,-0.0280
,-0.0230,-0.0230,-0.0350,-0.0280,-0.0280
,-0.0220,-0.0220,-0.0350,-0.0280,-0.0280
,-0.0220,-0.0220,-0.0350,-0.0290,-0.0290
,-0.0220,-0.0220,-0.0350,-0.0290,-0.0290
,-0.0220,-0.0220,-0.0350,-0.0300,-0.0300
,-0.0220,-0.0220,-0.0360,-0.0300,-0.0300
,-0.0210,-0.0210,-0.0360,-0.0300,-0.0300
,-0.0210,-0.0210,-0.0360,-0.0300,-0.0300
,-0.0210,-0.0210,-0.0360,-0.0300,-0.0300
,-0.0200,-0.0200,-0.0360,-0.0300,-0.0300
,-0.0200,-0.0200,-0.0370,-0.0300,-0.0300
,-0.0200,-0.0200,-0.0370,-0.0290,-0.0290
,-0.0190,-0.0190,-0.0370,-0.0290,-0.0290
,-0.0190,-0.0190,-0.0370,-0.0280,-0.0280
,-0.0190,-0.0190,-0.0370,-0.0270,-0.0270
,-0.0180,-0.0180,-0.0370,-0.0260,-0.0260
,-0.0180,-0.0180,-0.0380,-0.0260,-0.0260
,-0.0180,-0.0180,-0.0380,-0.0250,-0.0250
,-0.0170,-0.0170,-0.0380,-0.0240,-0.0240
,-0.0170,-0.0170,-0.0370,-0.0220,-0.0220
,-0.0170,-0.0170,-0.0370,-0.0210,-0.0210
,-0.0170,-0.0170,-0.0370,-0.0200,-0.0200
,-0.0170,-0.0170,-0.0370,-0.0190,-0.0190
,-0.0160,-0.0160,-0.0360,-0.0180,-0.0180
,-0.0160,-0.0160,-0.0360,-0.0170,-0.0170
,-0.0160,-0.0160,-0.0360,-0.0160,-0.0160
,-0.0160,-0.0160,-0.0350,-0.0150,-0.0150
,-0.0160,-0.0160,-0.0350,-0.0150,-0.0150
,-0.0160,-0.0160,-0.0340,-0.0140,-0.0140
,-0.0160,-0.0160,-0.0340,-0.0140,-0.0140
,-0.0160,-0.0160,-0.0330,-0.0130,-0.0130
,-0.0160,-0.0160,-0.0330,-0.0130,-0.0130
,-0.0160,-0.0160,-0.0320,-0.0130,-0.0130
,-0.0160,-0.0160,-0.0320,-0.0130,-0.0130
,-0.0160,-0.0160,-0.0310,-0.0130,-0.0130
,-0.0170,-0.0170,-0.0310,-0.0130,-0.0130
,-0.0170,-0.0170,-0.0310,-0.0130,-0.0130
,-0.0170,-0.0170,-0.0300,-0.0140,-0.0140
,-0.0170,-0.0170,-0.0300,-0.0140,-0.0140
,-0.0170,-0.0170,-0.0300,-0.0150,-0.0150
,-0.0170,-0.0170,-0.0300,-0.0150,-0.0150
,-0.0170,-0.0170,-0.0300,-0.0160,-0.0160
,-0.0170,-0.0170,-0.0300,-0.0160,-0.0160
,-0.0170,-0.0170,-0.0300,-0.0170,-0.0170
,-0.0170,-0.0170,-0.0300,-0.0170,-0.0170
,-0.0170,-0.0170,-0.0300,-0.0180,-0.0180
,-0.0170,-0.0170,-0.0300,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0300,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0310,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0310,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0310,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0320,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0320,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0330,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0330,-0.0180,-0.0180
,-0.0180,-0.0180,-0.0340,-0.0170,-0.0170
,-0.0180,-0.0180,-0.0340,-0.0170,-0.0170
,-0.0180,-0.0180,-0.0350,-0.0160,-0.0160
,-0.0180,-0.0180,-0.0350,-0.0160,-0.0160
,-0.0180,-0.0180,-0.0360,-0.0150,-0.0150
,-0.0180,-0.0180,-0.0360,-0.0150,-0.0150
,-0.0180,-0.0180,-0.0370,-0.0140,-0.0140
,-0.0190,-0.0190,-0.0370,-0.0130,-0.0130
,-0.0190,-0.0190,-0.0380,-0.0130,-0.0130
,-0.0190,-0.0190,-0.0380,-0.0120,-0.0120
,-0.0190,-0.0190,-0.0390,-0.0120,-0.0120
,-0.0190,-0.0190,-0.0390,-0.0120,-0.0120
,-0.0190,-0.0190,-0.0390,-0.0110,-0.0110
,-0.0200,-0.0200,-0.0400,-0.0110,-0.0110
,-0.0200,-0.0200,-0.0400,-0.0110,-0.0110
,-0.0200,-0.0200,-0.0400,-0.0110,-0.0110
,-0.0200,-0.0200,-0.0400,-0.0110,-0.0110
,-0.0200,-0.0200,-0.0410,-0.0110,-0.0110
,-0.0210,-0.0210,-0.0410,-0.0110,-0.0110
,-0.0210,-0.0210,-0.0410,-0.0110,-0.0110
,-0.0210,-0.0210,-0.0410,-0.0120,-0.0120
,-0.0210,-0.0210,-0.0410,-0.0120,-0.0120
,-0.0210,-0.0210,-0.0410,-0.0130,-0.0130
,-0.0210,-0.0210,-0.0410,-0.0130,-0.0130
,-0.0210,-0.0210,-0.0410,-0.0140,-0.0140
,-0.0210,-0.0210,-0.0410,-0.0150,-0.0150
,-0.0210,-0.0210,-0.0410,-0.0150,-0.0150
,-0.0210,-0.0210,-0.0410,-0.0160,-0.0160
,-0.0210,-0.0210,-0.0410,-0.0170,-0.0170
,-0.0210,-0.0210,-0.0410,-0.0170,-0.0170
,-0.0210,-0.0210,-0.0410,-0.0180,-0.0180
,-0.0210,-0.0210,-0.0410,-0.0180,-0.0180
,-0.0210,-0.0210,-0.0400,-0.0190,-0.0190
,-0.0200,-0.0200,-0.0400,-0.0190,-0.0190
,-0.0200,-0.0200,-0.0400,-0.0200,-0.0200
,-0.0200,-0.0200,-0.0400,-0.0200,-0.0200
,-0.0200,-0.0200,-0.0400,-0.0200,-0.0200
,-0.0200,-0.0200,-0.0400,-0.0200,-0.0200
,-0.0190,-0.0190,-0.0390,-0.0210,-0.0210
,-0.0190,-0.0190,-0.0390,-0.0210,-0.0210
,-0.0190,-0.0190,-0.0390,-0.0210,-0.0210
,-0.0190,-0.0190,-0.0390,-0.0200,-0.0200
,-0.0190,-0.0190,-0.0380,-0.0200,-0.0200
,-0.0190,-0.0190,-0.0380,-0.0200,-0.0200
,-0.0180,-0.0180,-0.0380,-0.0200,-0.0200
,-0.0180,-0.0180,-0.0370,-0.0200,-0.0200
,-0.0180,-0.0180,-0.0370,-0.0200,-0.0200
,-0.0180,-0.0180,-0.0370,-0.0200,-0.0200
,-0.0180,-0.0180,-0.0360,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0360,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0360,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0350,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0350,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0350,-0.0190,-0.0190
,-0.0180,-0.0180,-0.0340,-0.0190,-0.0190
